wsl_unix_time_s,connected,rx_count,crc_errors,last_rtt_ms,estimated_one_way_ms,wall_clock_delta_ms,last_state_age_s,scan_count_this_window,odom_count_this_window,nonzero_cmd_vel_count_this_window
1784377294.122,True,20830,0,5.262317999950028,2.631158999975014,276.65138244628906,0.0875999927520752,9,9,0
1784377295.124,True,20840,0,5.3449480001290794,2.6724740000645397,297.09696769714355,0.013290882110595703,10,10,0
1784377296.122,True,20849,0,112.36030400004893,56.180152000024464,319.02456283569336,0.05281329154968262,9,9,0
1784377297.121,True,20858,0,111.37374100007946,55.68687050003973,336.4839553833008,0.09510564804077148,9,9,0
1784377298.122,True,20868,0,110.21916200024862,55.10958100012431,356.4271926879883,0.02908778190612793,10,10,0
1784377299.122,True,20877,0,5.551625999942189,2.7758129999710945,375.7052421569824,0.0759134292602539,9,9,0
1784377300.123,True,20887,0,107.87165000010646,53.93582500005323,395.76148986816406,0.01880669593811035,10,10,0
1784377301.122,True,20896,0,6.911749000209966,3.455874500104983,416.0799980163574,0.05086255073547363,9,9,0
1784377302.122,True,20905,0,114.92294299978312,57.46147149989156,434.08846855163574,0.06922340393066406,9,9,0
1784377303.122,True,20914,0,108.5945689997061,54.29728449985305,453.57465744018555,0.09860491752624512,9,9,0
1784377304.122,True,20924,0,5.442142999982025,2.7210714999910124,474.271297454834,0.0339202880859375,10,10,0
1784377305.122,True,20933,0,108.57304499995735,54.28652249997867,493.73698234558105,0.07328653335571289,9,9,0
1784377306.122,True,20943,0,108.2145949999358,54.1072974999679,513.507604598999,0.01786065101623535,10,9,0
1784377307.122,True,20952,0,128.09166100032598,64.04583050016299,533.1671237945557,0.04037189483642578,9,10,0
1784377308.122,True,20961,0,7.151524999699177,3.5757624998495885,552.0210266113281,0.08585405349731445,9,9,0
1784377309.122,True,20971,0,108.2685709998259,54.13428549991295,572.2336769104004,0.026384353637695312,10,10,0
1784377310.122,True,20980,0,5.901958999857015,2.9509794999285077,591.2396907806396,0.06540465354919434,9,9,0
1784377311.122,True,20989,0,5.340157999853545,2.6700789999267727,609.7109317779541,0.10482454299926758,9,9,0
1784377312.122,True,20999,0,110.28484899998148,55.14242449999074,632.54714012146,0.02361750602722168,10,10,0
1784377313.123,True,21014,0,5.723157999909745,2.8615789999548724,28.141021728515625,0.05866861343383789,10,10,0
1784377314.122,True,21023,0,109.07720400018661,54.538602000093306,47.22332954406738,0.10448622703552246,9,9,0
1784377315.122,True,21033,0,5.9076699999423,2.95383499997115,67.72422790527344,0.03926682472229004,10,10,0
1784377316.122,True,21042,0,111.10598499999469,55.552992499997345,89.16711807250977,0.0837407112121582,9,9,0
