unix_time_s,cpu_percent,mem_used_mb,mem_available_mb,net_rx_bytes_delta,net_tx_bytes_delta,wifi_link_quality,wifi_signal_dbm
1784380491.645,12.63,169.32,195.21,2982,36116,70.0,-20.0
1784380492.651,16.18,169.32,195.21,2914,36127,70.0,-20.0
1784380493.658,13.65,169.32,195.21,3198,39635,70.0,-20.0
1784380494.664,12.47,169.32,195.21,2862,35754,70.0,-20.0
1784380495.670,13.65,169.31,195.22,3238,39714,70.0,-20.0
1784380496.675,13.15,169.37,195.16,2901,36022,70.0,-20.0
1784380497.681,13.32,169.43,195.10,3119,39144,70.0,-20.0
1784380498.687,14.14,169.43,195.10,2944,35958,70.0,-20.0
1784380499.693,12.94,169.43,195.11,3105,39512,70.0,-20.0
1784380500.699,14.25,169.47,195.06,2953,36005,70.0,-20.0
1784380501.705,13.40,169.47,195.06,2942,36083,70.0,-20.0
1784380502.711,14.21,169.47,195.06,3196,40012,70.0,-20.0
1784380503.717,14.93,169.47,195.06,2902,35370,70.0,-20.0
1784380504.724,12.59,169.47,195.06,2904,35692,70.0,-20.0
1784380505.731,15.02,169.46,195.07,3199,39496,70.0,-20.0
1784380506.737,13.61,169.41,195.12,2940,36233,70.0,-20.0
1784380507.743,13.75,169.35,195.18,3156,38848,70.0,-21.0
1784380508.748,14.71,169.35,195.18,2937,36414,70.0,-20.0
1784380509.755,14.39,169.35,195.18,3108,39435,70.0,-20.0
1784380510.761,14.36,169.34,195.19,2994,35745,70.0,-21.0
1784380511.768,14.39,169.34,195.19,2486,36221,70.0,-20.0
1784380512.773,11.93,169.28,195.25,3378,40704,70.0,-20.0
1784380513.780,14.36,169.34,195.19,3163,38781,70.0,-21.0
1784380514.787,12.50,169.39,195.14,2593,36462,70.0,-20.0
1784380515.793,13.22,169.62,194.91,2248,33967,70.0,-21.0
1784380516.800,13.61,169.62,194.91,2309,31161,70.0,-20.0
1784380517.807,15.56,169.62,194.91,2953,36121,70.0,-21.0
1784380518.813,13.68,169.62,194.91,3148,46598,70.0,-20.0
1784380519.819,14.29,169.62,194.91,3160,38872,70.0,-20.0
1784380520.825,14.18,169.73,194.80,2940,36357,70.0,-21.0
1784380521.831,13.72,169.67,194.86,3147,39305,70.0,-21.0
1784380522.838,15.16,169.73,194.80,2954,35665,70.0,-21.0
1784380523.843,13.47,169.73,194.80,2903,36089,70.0,-21.0
1784380524.849,14.74,169.73,194.80,3154,39801,70.0,-21.0
1784380525.855,14.46,169.73,194.80,2890,35943,70.0,-21.0
1784380526.863,15.89,169.75,194.79,3158,40004,70.0,-20.0
1784380527.869,13.43,169.75,194.79,2939,35593,70.0,-21.0
1784380528.876,14.29,169.69,194.84,3195,39422,70.0,-21.0
1784380529.883,13.43,169.69,194.84,2941,36179,70.0,-21.0
1784380530.889,13.65,169.69,194.84,2941,37377,70.0,-21.0
1784380531.895,14.39,169.80,194.73,3235,41035,70.0,-21.0
1784380532.902,14.04,169.75,194.79,2943,36217,70.0,-20.0
1784380533.910,15.06,169.75,194.79,3158,39424,70.0,-20.0
1784380534.915,16.50,169.74,194.79,2862,35262,70.0,-20.0
1784380535.922,13.47,169.74,194.79,3239,40154,70.0,-20.0
1784380536.928,14.78,169.74,194.79,2862,35827,70.0,-20.0
1784380537.933,14.53,169.74,194.79,2903,35953,70.0,-20.0
1784380538.939,14.39,169.74,194.79,3196,39755,70.0,-21.0
1784380539.945,15.06,169.74,194.79,2940,35447,70.0,-20.0
1784380540.951,15.72,169.74,194.79,2903,36126,70.0,-20.0
1784380541.957,15.02,169.74,194.79,3199,39958,70.0,-21.0
1784380542.963,15.56,169.80,194.73,2943,36138,70.0,-20.0
1784380543.969,15.37,169.86,194.67,2943,35280,70.0,-21.0
1784380544.974,15.27,169.86,194.67,3120,40224,70.0,-21.0
1784380545.981,14.29,169.87,194.66,3035,36050,70.0,-20.0
1784380546.988,14.29,169.93,194.61,3156,39048,70.0,-21.0
1784380547.995,13.86,169.87,194.66,2942,36108,70.0,-21.0
1784380549.002,14.74,169.87,194.66,2901,36069,70.0,-20.0
1784380550.008,14.85,169.83,194.70,3239,40969,70.0,-20.0
1784380551.014,15.42,169.83,194.70,2941,36486,70.0,-21.0
1784380552.020,14.64,169.83,194.70,3194,39502,70.0,-21.0
1784380553.026,15.12,169.83,194.70,2943,35605,70.0,-21.0
1784380554.032,15.42,169.83,194.70,3147,36733,70.0,-21.0
1784380555.038,13.61,169.83,194.70,2955,38845,70.0,-21.0
1784380556.045,14.85,169.83,194.70,2943,36250,70.0,-21.0
1784380557.051,16.01,169.83,194.70,3061,37919,70.0,-20.0
1784380558.058,15.70,169.86,194.67,3158,38677,70.0,-21.0
1784380559.065,15.37,169.92,194.61,2902,35598,70.0,-20.0
1784380560.071,14.14,169.92,194.61,3198,40576,70.0,-20.0
1784380561.077,13.86,169.92,194.61,2991,35772,70.0,-21.0
1784380562.083,14.00,169.98,194.55,3199,39213,70.0,-20.0
