time_s,linear_mps,angular_rps
43.653762018,0.015,1.0529771499179219e-14
43.659196053,0.015,1.0529771499179219e-14
43.672003457,0.015,1.0529771499179219e-14
43.678859271,0.015,1.0529771499179219e-14
43.690531173,0.015,1.0529771499179219e-14
43.695092783,0.015,1.0529771499179219e-14
43.703732944,0.015,0.002205830765888095
43.713866177,0.015,0.002205830765888095
43.720543906,0.015,0.002205830765888095
43.726410004,0.015,0.002205830765888095
43.73721008,0.015,0.002205830765888095
43.743595034,0.015,0.002205830765888095
43.754954063,0.015,0.002205830765888095
43.761084338,0.015,0.002205830765888095
43.772915826,0.015,0.002205830765888095
43.78129121,0.015,0.002205830765888095
43.789900974,0.015,0.002205830765888095
43.794840251,0.015,0.002205830765888095
43.804478027,0.015,1.0529771499179219e-14
43.811077462,0.015,1.0529771499179219e-14
43.822726566,0.015,1.0529771499179219e-14
43.827903323,0.015,1.0529771499179219e-14
43.837196928,0.015,1.0529771499179219e-14
43.846894399,0.015,1.0529771499179219e-14
43.857734372,0.015,1.0529771499179219e-14
43.867718918,0.015,1.0529771499179219e-14
43.876381677,0.015,1.0529771499179219e-14
43.884655269,0.015,1.0529771499179219e-14
43.89236651,0.015,1.0529771499179219e-14
43.898765362,0.015,-0.002205830765888095
43.910988817,0.015,-0.002205830765888095
43.916308662,0.015,-0.002205830765888095
43.928189046,0.015,-0.002205830765888095
43.934273025,0.015,-0.002205830765888095
43.943843307,0.015,-0.002205830765888095
43.955138441,0.015,-0.002205830765888095
43.963852995,0.015,-0.002205830765888095
43.971692225,0.015,-0.002205830765888095
43.981014728,0.015,-0.002205830765888095
43.987457077,0.015,-0.002205830765888095
43.999311363,0.015,-0.002205830765888095
44.007791437,0.015,1.0529771499179219e-14
44.017325222,0.015,1.0529771499179219e-14
44.022972139,0.015,1.0529771499179219e-14
44.030550091,0.015,1.0529771499179219e-14
44.038242233,0.015,1.0529771499179219e-14
44.047594433,0.015,1.0529771499179219e-14
44.052517812,0.015,1.0529771499179219e-14
44.06808858,0.015,1.0529771499179219e-14
44.073886684,0.015,1.0529771499179219e-14
44.086891572,0.015,1.0529771499179219e-14
44.09275607,0.015,1.0529771499179219e-14
44.104231889,0.015,1.0529771499179219e-14
44.110525351,0.015,1.0529771499179219e-14
44.123089776,0.015,1.0529771499179219e-14
44.128722394,0.015,1.0529771499179219e-14
44.13637074,0.015,1.0529771499179219e-14
44.143758708,0.015,1.0529771499179219e-14
44.152223384,0.015,1.0529771499179219e-14
44.164512833,0.015,1.0529771499179219e-14
44.174091814,0.015,1.0529771499179219e-14
44.187214891,0.015,1.0529771499179219e-14
44.195780459,0.015,1.0529771499179219e-14
44.203116831,0.015,1.0529771499179219e-14
44.213373554,0.015,0.002205830765888095
44.218536512,0.015,0.002205830765888095
44.230470092,0.015,0.002205830765888095
44.238048944,0.015,0.002205830765888095
44.246813294,0.015,0.002205830765888095
44.253165351,0.015,0.002205830765888095
44.263079803,0.015,0.002205830765888095
44.26860503,0.015,0.002205830765888095
44.279923762,0.015,0.002205830765888095
44.28497593,0.015,0.002205830765888095
44.297273978,0.015,0.002205830765888095
44.303890612,0.015,0.002205830765888095
44.313991948,0.015,0.002205830765888095
44.319705759,0.015,1.0529771499179219e-14
44.330246058,0.015,1.0529771499179219e-14
44.339098901,0.015,1.0529771499179219e-14
44.348736876,0.015,1.0529771499179219e-14
44.357732607,0.015,1.0529771499179219e-14
44.366555352,0.015,1.0529771499179219e-14
44.373314467,0.015,1.0529771499179219e-14
44.384359599,0.015,1.0529771499179219e-14
44.391802146,0.015,1.0529771499179219e-14
44.402257629,0.015,1.0529771499179219e-14
44.408659868,0.015,1.0529771499179219e-14
44.422999311,0.015,1.0529771499179219e-14
44.429516839,0.015,1.0529771499179219e-14
44.436964586,0.015,1.0529771499179219e-14
44.445098073,0.015,1.0529771499179219e-14
44.452779599,0.015,1.0529771499179219e-14
44.459770786,0.015,1.0529771499179219e-14
44.472217555,0.015,1.0529771499179219e-14
44.477318542,0.015,1.0529771499179219e-14
44.494831889,0.015,1.0529771499179219e-14
44.499820156,0.015,1.0529771499179219e-14
44.510744056,0.015,1.0529771499179219e-14
44.515730223,0.015,1.0529771499179219e-14
44.524301414,0.015,1.0529771499179219e-14
44.533394996,0.015,1.0529771499179219e-14
44.543443144,0.015,1.0529771499179219e-14
44.551885212,0.015,1.0529771499179219e-14
44.560663739,0.015,1.0529771499179219e-14
44.565133916,0.015,1.0529771499179219e-14
44.575547027,0.015,1.0529771499179219e-14
44.581339335,0.015,1.0529771499179219e-14
44.589999241,0.015,1.0529771499179219e-14
44.598882486,0.015,1.0529771499179219e-14
44.608178603,0.015,1.0529771499179219e-14
44.618215349,0.015,1.0529771499179219e-14
44.629658239,0.015,-0.002205830765888095
44.634690714,0.015,-0.002205830765888095
44.64558891,0.015,-0.002205830765888095
44.650976347,0.015,-0.002205830765888095
44.662624673,0.015,-0.002205830765888095
44.667695255,0.015,-0.002205830765888095
44.67726822,0.015,-0.002205830765888095
44.687476695,0.015,-0.002205830765888095
44.696552674,0.015,-0.002205830765888095
44.705446021,0.015,-0.002205830765888095
44.714154535,0.015,-0.002205830765888095
44.719782114,0.015,-0.002205830765888095
44.731048674,0.015,0.002205830765888095
44.736552131,0.015,0.002205830765888095
44.749574496,0.015,0.002205830765888095
44.757794126,0.015,0.002205830765888095
44.772025901,0.015,0.002205830765888095
44.777331324,0.015,0.002205830765888095
44.787188238,0.015,0.002205830765888095
44.797215282,0.015,0.002205830765888095
44.805277184,0.015,0.002205830765888095
44.816084364,0.015,0.002205830765888095
44.824233381,0.015,0.002205830765888095
44.83129461,0.015,1.0529771499179219e-14
44.843992418,0.015,1.0529771499179219e-14
44.848336274,0.015,1.0529771499179219e-14
44.86102048,0.015,1.0529771499179219e-14
44.867313474,0.015,1.0529771499179219e-14
44.874798076,0.015,1.0529771499179219e-14
44.882954995,0.015,1.0529771499179219e-14
44.891790832,0.015,1.0529771499179219e-14
44.901623742,0.015,1.0529771499179219e-14
44.913551216,0.015,1.0529771499179219e-14
44.917426891,0.015,1.0529771499179219e-14
44.928415302,0.015,1.0529771499179219e-14
44.933114719,0.015,1.0529771499179219e-14
44.943099256,0.015,1.0529771499179219e-14
44.949085997,0.015,1.0529771499179219e-14
44.956767433,0.015,1.0529771499179219e-14
44.965057775,0.015,1.0529771499179219e-14
44.973091172,0.015,1.0529771499179219e-14
44.979376065,0.015,1.0529771499179219e-14
44.991126609,0.015,1.0529771499179219e-14
44.996588259,0.015,1.0529771499179219e-14
45.010960959,0.015,1.0529771499179219e-14
45.016165364,0.015,1.0529771499179219e-14
45.023792391,0.015,1.0529771499179219e-14
45.033132315,0.015,1.0529771499179219e-14
45.040190243,0.015,1.0529771499179219e-14
45.047451406,0.015,1.0529771499179219e-14
45.057516756,0.015,1.0529771499179219e-14
45.063327367,0.015,1.0529771499179219e-14
45.076022775,0.015,1.0529771499179219e-14
45.081849088,0.015,1.0529771499179219e-14
45.094711126,0.015,1.0529771499179219e-14
45.101009621,0.015,1.0529771499179219e-14
45.109657925,0.015,1.0529771499179219e-14
45.120710248,0.015,1.0529771499179219e-14
45.128620423,0.015,1.0529771499179219e-14
45.137447159,0.015,-0.002205830765888095
45.146106865,0.015,-0.002205830765888095
45.150694863,0.015,-0.002205830765888095
45.162022533,0.015,-0.002205830765888095
45.167711323,0.015,-0.002205830765888095
45.179720111,0.015,-0.002205830765888095
45.184963123,0.015,-0.002205830765888095
45.193266067,0.015,-0.002205830765888095
45.202054796,0.015,-0.002205830765888095
45.210878931,0.015,-0.002205830765888095
45.219577244,0.015,-0.002205830765888095
45.227701957,0.015,-0.002205830765888095
45.232978875,0.015,-0.002205830765888095
45.24525601,0.015,0.002205830765888095
45.251566807,0.015,0.002205830765888095
45.262030727,0.015,0.002205830765888095
45.268160894,0.015,0.002205830765888095
45.276568256,0.015,0.002205830765888095
45.285536416,0.015,0.002205830765888095
45.294359951,0.015,0.002205830765888095
45.300424205,0.015,0.002205830765888095
45.312116239,0.015,0.002205830765888095
45.317383255,0.015,0.002205830765888095
45.329269422,0.015,0.002205830765888095
45.335597523,0.015,0.002205830765888095
45.344312639,0.015,1.0529771499179219e-14
45.352864026,0.015,1.0529771499179219e-14
45.364607669,0.015,1.0529771499179219e-14
45.375918323,0.015,1.0529771499179219e-14
45.384675628,0.015,1.0529771499179219e-14
45.394192563,0.015,1.0529771499179219e-14
45.403883528,0.015,1.0529771499179219e-14
45.410098396,0.015,1.0529771499179219e-14
45.42193913,0.015,1.0529771499179219e-14
45.427392367,0.015,1.0529771499179219e-14
45.442144802,0.015,1.0529771499179219e-14
45.447450413,0.015,1.0529771499179219e-14
45.455259255,0.015,1.0529771499179219e-14
45.464263602,0.015,1.0529771499179219e-14
45.473202238,0.015,1.0529771499179219e-14
45.484352054,0.015,1.0529771499179219e-14
45.494240152,0.015,1.0529771499179219e-14
45.499713993,0.015,1.0529771499179219e-14
45.511079246,0.015,1.0529771499179219e-14
45.515629227,0.015,1.0529771499179219e-14
45.52693797,0.015,1.0529771499179219e-14
45.532693459,0.015,1.0529771499179219e-14
