time_s,x_m,y_m,yaw_rad,front_distance_m,left_distance_m,right_distance_m
50.475657821,-0.23630976676940918,-0.18751618266105652,-4.083539062449404e-15,0.962906539440155,inf,inf
50.578655036,-0.22701537609100342,-0.18750953674316406,-4.083539062449404e-15,0.9415935277938843,inf,inf
50.681282351,-0.21772098541259766,-0.18749789893627167,-4.083539062449404e-15,0.9278197288513184,inf,inf
50.784383566,-0.2090545892715454,-0.18748819828033447,-4.083539062449404e-15,0.9071953892707825,inf,inf
50.886259581,-0.19976019859313965,-0.18748141825199127,-4.083539062449404e-15,0.923222005367279,inf,inf
50.987654696,-0.19071701169013977,-0.18747226893901825,-4.083539062449404e-15,0.9074385762214661,inf,inf
51.088548311,-0.18173661828041077,-0.18746235966682434,0.002205830765888095,0.8851368427276611,inf,inf
51.191778626,-0.17300741374492645,-0.18746133148670197,-4.083539062449404e-15,0.8923394083976746,inf,inf
51.292243741,-0.1645922213792801,-0.1874643713235855,-4.083539062449404e-15,0.8747387528419495,inf,inf
51.394144956,-0.1562398225069046,-0.187466099858284,-0.002205830765888095,0.870967447757721,inf,inf
51.497770771,-0.1472594290971756,-0.18746604025363922,-4.083539062449404e-15,0.8664135336875916,inf,inf
51.599317485,-0.13940942287445068,-0.1874600052833557,0.002205830765888095,0.8510931730270386,inf,inf
51.700379998,-0.1316850334405899,-0.18745440244674683,-4.083539062449404e-15,0.8321166634559631,inf,inf
51.805049912,-0.12377223372459412,-0.18745537102222443,-4.083539062449404e-15,0.8383771777153015,inf,inf
51.906514426,-0.11510583758354187,-0.18745675683021545,-4.083539062449404e-15,0.8361354470252991,inf,inf
52.00868854,-0.10763263702392578,-0.1874580681324005,-0.002205830765888095,0.8273161053657532,inf,inf
52.109202453,-0.09890343993902206,-0.18745633959770203,-4.083539062449404e-15,0.8218313455581665,inf,inf
52.211601767,-0.09174424409866333,-0.187450110912323,-4.083539062449404e-15,0.813284158706665,inf,inf
52.31098688,-0.08301505446434021,-0.18744103610515594,0.002205830765888095,0.7981484532356262,inf,inf
52.412839894,-0.07428585737943649,-0.1874377727508545,-4.083539062449404e-15,0.7909003496170044,inf,inf
52.515502307,-0.065933458507061,-0.18743978440761566,-0.002205830765888095,0.7953426837921143,inf,inf
52.61869532,-0.058460257947444916,-0.1874394416809082,-4.083539062449404e-15,0.7664138078689575,inf,inf
52.719427732,-0.04941706359386444,-0.1874319612979889,-4.083539062449404e-15,0.7708015441894531,inf,inf
52.819211244,-0.04100186750292778,-0.18742351233959198,-4.083539062449404e-15,0.766588568687439,inf,inf
52.920856657,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7416239976882935,inf,inf
53.021538869,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7462712526321411,inf,inf
53.122260181,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7594271898269653,inf,inf
53.224049194,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7531191110610962,inf,inf
53.328817206,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7422044277191162,inf,inf
53.434241719,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7526629567146301,inf,inf
53.535941431,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7639151215553284,inf,inf
53.638457242,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7490641474723816,inf,inf
53.739577453,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7474004030227661,inf,inf
53.847901865,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7479010820388794,inf,inf
53.945511975,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7481512427330017,inf,inf
54.04693877,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7556809782981873,inf,inf
54.150764519,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7564276456832886,inf,inf
54.256045668,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.756538987159729,inf,inf
54.359034817,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7466761469841003,inf,inf
54.461263267,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7466274499893188,inf,inf
54.562201716,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.756973147392273,inf,inf
54.664075465,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7526742815971375,inf,inf
54.764772014,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7486164569854736,inf,inf
