"relative_path","file_type","size_bytes","sha256"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial04_attempt01/metadata.yaml","rosbag2_metadata","4524","8d9f406e7964165723a93bcbc79439dde507b9f8b5abea806ec3f3147e530470"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial04_attempt01/objective5_impairment_matrix_v1_condition_E_trial04_attempt01_0.db3","rosbag2_sqlite3","364544","b19e06adec72d977e4d78d66d6fb9d13d3d03d55dbb04ee116a8d17759f46b44"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial05_attempt01/metadata.yaml","rosbag2_metadata","4524","49ed4dd4097ccc20917c161bf757bb52c009b72598bd6849f06029729f6ba495"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_E_trial05_attempt01/objective5_impairment_matrix_v1_condition_E_trial05_attempt01_0.db3","rosbag2_sqlite3","364544","c5e59509404facafe563e3a81657a4d0e1aa1e52d64743b6fb511b0dd36e63f0"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial01_attempt01/metadata.yaml","rosbag2_metadata","4526","6cd17d491f37b1aca9913582f8074d89676356650ad5b081ef482362638288ad"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial01_attempt01/objective5_impairment_matrix_v1_condition_F_trial01_attempt01_0.db3","rosbag2_sqlite3","573440","b4b946aeed37fb0c5b67f583cfd3f22c36cc6aa8200e81f81b7ebed6b804dd16"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial02_attempt01/metadata.yaml","rosbag2_metadata","4526","c9d27c2e34b26ca90453b9852f5375752c2a1c9b99d00671759e2c93762bbbce"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial02_attempt01/objective5_impairment_matrix_v1_condition_F_trial02_attempt01_0.db3","rosbag2_sqlite3","569344","e7fbacc826d78dc593991625cc14f79a617b5a3ec9aad374a5176f339007d6fd"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial03_attempt01/metadata.yaml","rosbag2_metadata","4524","b447fdb362fb73c03557cba58597bcf36f511a8a0c1b97acb962335cdead68de"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial03_attempt01/objective5_impairment_matrix_v1_condition_F_trial03_attempt01_0.db3","rosbag2_sqlite3","389120","1e59c90d0c1c0bd379ee7767e21d844932e63972cad10f69fa05de463e52211c"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial04_attempt01/metadata.yaml","rosbag2_metadata","4526","a39cbc2b823831bc72c2a8d78e689464ab634c988b1fcc24d6e78a01014452e4"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial04_attempt01/objective5_impairment_matrix_v1_condition_F_trial04_attempt01_0.db3","rosbag2_sqlite3","573440","dd71836b0496f2c839497dc89ab593cc5f7050b316738a9df1438d1b6e6ac7be"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial05_attempt01/metadata.yaml","rosbag2_metadata","4526","937ff6776abad411f0ee2a91df2030e3ebf327e382dba932c0538b5f5e38bd3c"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_F_trial05_attempt01/objective5_impairment_matrix_v1_condition_F_trial05_attempt01_0.db3","rosbag2_sqlite3","569344","34c75aabe9950764ff95071467ef9464bee22327ebbf5ebdfc4c9dec78b8b89c"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial01_attempt01/metadata.yaml","rosbag2_metadata","4524","5352cbb9087b872e5f7f8dc366cec29f34b9642b7111c3f341859cb55fb8f77e"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial01_attempt01/objective5_impairment_matrix_v1_condition_G_trial01_attempt01_0.db3","rosbag2_sqlite3","385024","86f450a4044e5e6cb682d360cfa32a0403cd31feb8db47a6cb801f0382a4449b"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial02_attempt01/metadata.yaml","rosbag2_metadata","4524","438f0f3b5b8ef732f8adfe04f9d7ea67be7dcb92068c851c42231558a75bf636"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial02_attempt01/objective5_impairment_matrix_v1_condition_G_trial02_attempt01_0.db3","rosbag2_sqlite3","368640","b7ac774a6de9ae7cd3b42024db601e5e896e76e077cd572f6aabbedd7da27f21"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial03_attempt01/metadata.yaml","rosbag2_metadata","4524","f5706d13275bc101f478e6391bf02aa3ea90f8e5bfdb3ea812664d4089753d13"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial03_attempt01/objective5_impairment_matrix_v1_condition_G_trial03_attempt01_0.db3","rosbag2_sqlite3","372736","045b7b004530466b541636abac3b72f489d2a38b45fb9dcf77d8daec581de13e"
"experiments/05_objective5_impairment_matrix/bags/objective5_impairment_matrix_v1_condition_G_trial04_attempt01/metadata.yaml","rosbag2_metadata","4524","e73a312dd77553393b3dcf1991c6b9342f10e3313cce7e3c73f14a4b9d5db27f"
